Query ,Actual closest word ,Predicted closest words,Actual answer index,similarity score
acceleration:speed::dim:light,light,"[('light', 0.841880738735199), ('warm', 0.8250758051872253), ('day', 0.7915524244308472), ('smoke', 0.7876470685005188), ('evening', 0.7610785961151123), ('road', 0.7543259263038635), ('fast', 0.7536738514900208), ('fire', 0.7535342574119568), ('empty', 0.7535144090652466), ('fear', 0.7464408874511719)]",1,0.841880739
snacks:chips::cutlery:forks,forks,"[('forks', 0.8087946772575378), ('hammer', 0.773495078086853), ('spear', 0.7668033838272095), ('screwdriver', 0.7362563014030457), ('knife', 0.7234442234039307), ('elastic', 0.7151350975036621), ('tool', 0.7120864391326904), ('sword', 0.7071770429611206), ('chair', 0.70613694190979), ('cloth', 0.705082356929779)]",1,0.808794677
kid:child::raise:elevate,elevate,"[('elevate', 0.9461961388587952), ('teach', 0.8900824189186096), ('unstable', 0.8895271420478821), ('attract', 0.888881504535675), ('short', 0.8868826031684875), ('backward', 0.884563148021698), ('finger', 0.8772966265678406), ('hand', 0.8709530234336853), ('forward', 0.8702481389045715), ('coward', 0.8700059056282043)]",1,0.946196139
army:soldiers::library:books,books,"[('books', 0.8509503602981567), ('book', 0.8198047280311584), ('dim', 0.7478668093681335), ('lobby', 0.7402235865592957), ('top', 0.7335994839668274), ('short', 0.730246901512146), ('hotel', 0.7296620011329651), ('warm', 0.7248023748397827), ('empty', 0.724317729473114), ('school', 0.7212350368499756)]",1,0.85095036
school:students::zoo:animal,animal,"[('animal', 0.8062567710876465), ('small', 0.7367872595787048), ('child', 0.7316121459007263), ('tired', 0.7253093123435974), ('student', 0.7238667011260986), ('laugh', 0.7098701000213623), ('raise', 0.7064833045005798), ('lazy', 0.7036523818969727), ('short', 0.7030741572380066), ('elevate', 0.7027215957641602)]",1,0.806256771
crown:royalty::smoke:fire,fire,"[('fire', 0.8392055630683899), ('fear', 0.8340490460395813), ('burn', 0.8331237435340881), ('light', 0.8288361430168152), ('warm', 0.8200935125350952), ('morose', 0.8179388046264648), ('dim', 0.816311776638031), ('sadness', 0.8098641633987427), ('evil', 0.8075549602508545), ('deceased', 0.802808940410614)]",1,0.839205563
weapon:spear::bird:robin,robin,"[('robin', 0.8175719380378723), ('feathers', 0.7963668704032898), ('small', 0.7820849418640137), ('animal', 0.7795127034187317), ('plants', 0.743342399597168), ('botany', 0.7247111797332764), ('zoo', 0.7224687337875366), ('warm', 0.7202860116958618), ('fruit', 0.7034397721290588), ('day', 0.7012276649475098)]",1,0.817571938
hotel:lobby::hill:top,top,"[('top', 0.8668144941329956), ('day', 0.791229784488678), ('road', 0.7902683019638062), ('warm', 0.7751964926719666), ('highway', 0.7678813934326172), ('forks', 0.7540138959884644), ('dim', 0.7469391226768494), ('botany', 0.7392359375953674), ('plants', 0.7382434606552124), ('ocean', 0.7336653470993042)]",1,0.866814494
fruit:apple::furniture:chair,chair,"[('chair', 0.8665634989738464), ('stairs', 0.8026876449584961), ('empty', 0.786583662033081), ('forks', 0.7565097212791443), ('lobby', 0.7499815225601196), ('bottom', 0.7401350140571594), ('ladder', 0.7358675599098206), ('sewing', 0.7310172319412231), ('small', 0.7281283140182495), ('spinner', 0.7263944745063782)]",1,0.866563499
harvesting:farming::stitching:sewing,sewing,"[('sewing', 0.8979241847991943), ('elastic', 0.8679293394088745), ('yarn', 0.857218861579895), ('spinner', 0.8521326780319214), ('cloth', 0.8315274119377136), ('monochromatic', 0.815075159072876), ('botany', 0.8139377236366272), ('short', 0.8135309219360352), ('small', 0.8078563213348389), ('feathers', 0.8067318201065063)]",1,0.897924185
