Query ,Actual closest word ,Predicted closest words,Actual answer index,similarity score
hot:cold::big:small,small,"[('small', 0.346342533826828), ('gigantic', 0.3375288248062134), ('good', 0.2928381860256195), ('freezing', 0.2763940095901489), ('pain', 0.2198178917169571), ('warm', 0.2150740623474121), ('crying', 0.20877954363822937), ('backward', 0.20314151048660278), ('sadness', 0.1975976675748825), ('kid', 0.18882371485233307)]",1,0.346342534
road:highway::pain:agony,agony,"[('agony', 0.45995745062828064), ('depression', 0.3962305188179016), ('sadness', 0.34949713945388794), ('exhaustion', 0.29927125573158264), ('joy', 0.2851475775241852), ('crying', 0.2657333314418793), ('fear', 0.24431242048740387), ('heart', 0.23655875027179718), ('pimple', 0.23626607656478882), ('hunger', 0.22953587770462036)]",1,0.459957451
snacks:chips::cutlery:forks,forks,"[('forks', 0.3741757571697235), ('knife', 0.2910977602005005), ('screwdriver', 0.2742021083831787), ('spear', 0.2669328451156616), ('furniture', 0.265947550535202), ('hammer', 0.2355036437511444), ('sword', 0.234117791056633), ('cards', 0.20416466891765594), ('weapon', 0.2013286054134369), ('feathers', 0.1970377117395401)]",1,0.374175757
wash:clean::teach:educated,educated,"[('educated', 0.31530967354774475), ('discipline', 0.2906326353549957), ('mathematics', 0.2770511507987976), ('students', 0.2731326222419739), ('succeed', 0.24927490949630737), ('school', 0.24367181956768036), ('attract', 0.2321976274251938), ('good', 0.2295622080564499), ('books', 0.2150978296995163), ('kid', 0.20555292069911957)]",1,0.315309674
heart:beat::fire:burn,burn,"[('burn', 0.2450850009918213), ('smoke', 0.23664677143096924), ('break', 0.23393385112285614), ('ladder', 0.22413085401058197), ('repel', 0.20670592784881592), ('blemish', 0.20370754599571228), ('top', 0.17674879729747772), ('face', 0.1719568818807602), ('furniture', 0.1658489853143692), ('road', 0.15859554708003998)]",1,0.245085001
acceleration:speed::dim:light,light,"[('light', 0.3776529133319855), ('morose', 0.2732775807380676), ('monochromatic', 0.24801695346832275), ('rainbow', 0.21383455395698547), ('good', 0.21309395134449005), ('fast', 0.20620086789131165), ('alive', 0.20291277766227722), ('fail', 0.20020778477191925), ('fragile', 0.19892705976963043), ('dirty', 0.19699150323867798)]",1,0.377652913
fire:hot::villain:evil,evil,"[('evil', 0.3303949534893036), ('morose', 0.29125097393989563), ('dirty', 0.27752411365509033), ('movie', 0.26388660073280334), ('coward', 0.25328996777534485), ('cold', 0.24337661266326904), ('lazy', 0.2293173223733902), ('script', 0.22397461533546448), ('monochromatic', 0.2217637598514557), ('big', 0.20359525084495544)]",1,0.330394953
wash:dirty::fill:empty,empty,"[('empty', 0.33527037501335144), ('big', 0.2846110165119171), ('job', 0.25088411569595337), ('lazy', 0.23490318655967712), ('top', 0.20757950842380524), ('succeed', 0.20637144148349762), ('gigantic', 0.20011283457279205), ('tired', 0.19929711520671844), ('clean', 0.19321244955062866), ('good', 0.19258536398410797)]",1,0.335270375
omelette:eggs::ocean:water,water,"[('water', 0.3685600757598877), ('egg', 0.2972390055656433), ('Earth', 0.2911410927772522), ('bird', 0.2702917158603668), ('litter', 0.2574840784072876), ('feet', 0.25053003430366516), ('baby', 0.24061821401119232), ('Pacific', 0.2279813587665558), ('planet', 0.21688956022262573), ('animal', 0.21029551327228546)]",1,0.368560076
fragile:damaged::elastic:stretched,stretched,"[('stretched', 0.30009979009628296), ('cloth', 0.2310074269771576), ('feet', 0.20171324908733368), ('inches', 0.18469780683517456), ('empty', 0.18453015387058258), ('skin', 0.18308988213539124), ('fire', 0.1808375120162964), ('stitching', 0.17538398504257202), ('sewing', 0.15417422354221344), ('feathers', 0.15380507707595825)]",1,0.30009979
school:students::zoo:animal,animal,"[('animal', 0.4111236333847046), ('bird', 0.34114208817481995), ('student', 0.29076501727104187), ('library', 0.26317232847213745), ('eggs', 0.2419651597738266), ('soldiers', 0.23529879748821259), ('botany', 0.22040607035160065), ('baby', 0.22010475397109985), ('plants', 0.21176135540008545), ('adult', 0.21017208695411682)]",1,0.411123633
crown:royalty::smoke:fire,fire,"[('fire', 0.33968687057495117), ('burn', 0.30263981223106384), ('consume', 0.20456193387508392), ('water', 0.19246548414230347), ('eat', 0.17416426539421082), ('litter', 0.17073963582515717), ('casino', 0.16922521591186523), ('dirty', 0.16683578491210938), ('pain', 0.16263248026371002), ('crying', 0.1572038233280182)]",1,0.339686871
ocean:Pacific::planet:Earth,Earth,"[('Earth', 0.3359734117984772), ('evil', 0.16166061162948608), ('villain', 0.1592521071434021), ('dim', 0.12412192672491074), ('consume', 0.12293849140405655), ('face', 0.10973013937473297), ('fragile', 0.10578121244907379), ('weapon', 0.10545772314071655), ('good', 0.09978263080120087), ('repel', 0.0970851257443428)]",1,0.335973412
kid:child::raise:elevate,elevate,"[('elevate', 0.2335469126701355), ('baby', 0.2238742560148239), ('attract', 0.22338947653770447), ('deceased', 0.20839756727218628), ('husband', 0.20291662216186523), ('starvation', 0.19117143750190735), ('mother', 0.1819874495267868), ('adult', 0.17892687022686005), ('widow', 0.17185762524604797), ('abuse', 0.1696057915687561)]",1,0.233546913
weapon:spear::bird:robin,robin,"[('robin', 0.48835524916648865), ('animal', 0.3605978786945343), ('feathers', 0.33601927757263184), ('fruit', 0.2584798038005829), ('ocean', 0.24898512661457062), ('yolk', 0.23817165195941925), ('apple', 0.23783951997756958), ('botany', 0.2367348074913025), ('zoo', 0.23405084013938904), ('egg', 0.2181389331817627)]",1,0.488355249
