Query ,Actual closest word ,Predicted closest words,Actual answer index,similarity score
weapon:spear raise:elevate,elevate,"[('raise', 0.9265366792678833), ('elevate', 0.9094944000244141), ('finger', 0.8654041886329651), ('short', 0.8586298227310181), ('hand', 0.8563363552093506), ('unstable', 0.8553285598754883), ('forward', 0.8511254191398621), ('teach', 0.8462830781936646), ('backward', 0.8450707793235779), ('achievement', 0.841233491897583)]",2,0.9094944
hunger:starvation smoke:fire,fire,"[('smoke', 0.9699655175209045), ('fire', 0.8730195164680481), ('burn', 0.8718764185905457), ('light', 0.8570302128791809), ('morose', 0.8445091247558594), ('fear', 0.8408315181732178), ('evil', 0.840139627456665), ('dim', 0.8300686478614807), ('mask', 0.8278772234916687), ('full', 0.8275512456893921)]",2,0.873019516
fail:succeed cutlery:forks,forks,"[('cutlery', 0.8950080871582031), ('forks', 0.8214630484580994), ('tool', 0.778060793876648), ('succeed', 0.7692400217056274), ('botany', 0.7603898644447327), ('elastic', 0.7534329891204834), ('short', 0.7505692839622498), ('edible', 0.7468897700309753), ('achievement', 0.7438567876815796), ('sewing', 0.7403656244277954)]",2,0.821463048
tired:exhaustion zoo:animal,animal,"[('zoo', 0.970069408416748), ('animal', 0.9019202589988708), ('small', 0.7931470274925232), ('bird', 0.782738447189331), ('big', 0.7755109667778015), ('top', 0.7614971399307251), ('warm', 0.7459578514099121), ('ocean', 0.7413161396980286), ('day', 0.7381148934364319), ('dirty', 0.7368144392967224)]",2,0.901920259
fire:cold makeup:blemish,blemish,"[('makeup', 0.7848799824714661), ('blemish', 0.6786658763885498), ('face', 0.6629668474197388), ('girl', 0.6534104943275452), ('cold', 0.6193161010742188), ('adult', 0.6141535043716431), ('woman', 0.5950829386711121), ('pimple', 0.5936004519462585), ('stretched', 0.5804157853126526), ('consume', 0.5725874900817871)]",2,0.678665876
botany:plants raise:elevate,elevate,"[('raise', 0.9443824887275696), ('elevate', 0.9293749928474426), ('finger', 0.8968952894210815), ('short', 0.8844574093818665), ('hand', 0.8828614354133606), ('unstable', 0.8774762153625488), ('small', 0.8735992908477783), ('stretched', 0.8695905208587646), ('backward', 0.8638105988502502), ('forward', 0.8608179688453674)]",2,0.929374993
consume:edible hill:top,top,"[('hill', 0.8719861507415771), ('top', 0.8202911615371704), ('day', 0.7586053013801575), ('warm', 0.7228628396987915), ('plants', 0.7224911451339722), ('evening', 0.7198888063430786), ('rainbow', 0.7179409265518188), ('botany', 0.7121648788452148), ('ocean', 0.7103363871574402), ('road', 0.6980860233306885)]",2,0.820291162
forward:backward villain:evil,evil,"[('villain', 0.9370723962783813), ('evil', 0.7761702537536621), ('movie', 0.7304169535636902), ('sadness', 0.7249617576599121), ('agony', 0.7221288084983826), ('morose', 0.7188884615898132), ('gigantic', 0.7121792435646057), ('mask', 0.7089959383010864), ('big', 0.6986635327339172), ('nod', 0.6958852410316467)]",2,0.776170254
script:movie employed:jobless,jobless,"[('employed', 0.8176519274711609), ('jobless', 0.6820641756057739), ('performance', 0.6584432721138), ('raise', 0.6402122378349304), ('attract', 0.6388203501701355), ('movie', 0.6335707902908325), ('achievement', 0.6333210468292236), ('succeed', 0.6261703968048096), ('unstable', 0.6228811144828796), ('retiree', 0.6211298704147339)]",2,0.682064176
wash:dirty villain:evil,evil,"[('villain', 0.8338689804077148), ('evil', 0.7493924498558044), ('agony', 0.7109082341194153), ('morose', 0.6811965703964233), ('movie', 0.6776605248451233), ('gigantic', 0.6645662784576416), ('nod', 0.6641920208930969), ('big', 0.6535449028015137), ('damaged', 0.6292052865028381), ('sadness', 0.6268709897994995)]",2,0.74939245
father:mother villain:evil,evil,"[('villain', 0.932734489440918), ('evil', 0.828359842300415), ('morose', 0.7888500094413757), ('sadness', 0.7763307094573975), ('agony', 0.7695401310920715), ('mask', 0.7685878276824951), ('nod', 0.7501547932624817), ('skin', 0.7451326847076416), ('face', 0.7441697120666504), ('big', 0.7439271211624146)]",2,0.828359842
road:highway smoke:fire,fire,"[('smoke', 0.9689624309539795), ('fire', 0.8804703950881958), ('burn', 0.8715265989303589), ('light', 0.8559616208076477), ('dim', 0.8352109789848328), ('full', 0.8309393525123596), ('speed', 0.8249614238739014), ('mask', 0.8153475522994995), ('warm', 0.8147580623626709), ('fear', 0.807362973690033)]",2,0.880470395
school:students mother:father,father,"[('mother', 0.8687351942062378), ('father', 0.8310246467590332), ('student', 0.8275666236877441), ('child', 0.8252847790718079), ('students', 0.8144418597221375), ('emotional', 0.7927834987640381), ('tired', 0.7919626832008362), ('exhaustion', 0.787851095199585), ('teach', 0.7865071296691895), ('baby', 0.7850486040115356)]",2,0.831024647
tool:hammer mathematics:numbers,numbers,"[('mathematics', 0.9230045080184937), ('numbers', 0.8352180123329163), ('backward', 0.8182181715965271), ('short', 0.8109568953514099), ('inches', 0.8066038489341736), ('unstable', 0.8063144087791443), ('forward', 0.8060963153839111), ('elevate', 0.7991085648536682), ('raise', 0.798369824886322), ('hand', 0.7889490127563477)]",2,0.835218012
heart:beat villain:evil,evil,"[('villain', 0.8639695048332214), ('evil', 0.7570695281028748), ('agony', 0.716446578502655), ('mask', 0.7043427228927612), ('movie', 0.6953350305557251), ('nod', 0.6942766308784485), ('fear', 0.6912286877632141), ('morose', 0.6897990107536316), ('gigantic', 0.6866012811660767), ('big', 0.6832054853439331)]",2,0.757069528
library:books makeup:blemish,blemish,"[('makeup', 0.8866187930107117), ('face', 0.808296799659729), ('blemish', 0.7770869731903076), ('girl', 0.769947350025177), ('skin', 0.7678735852241516), ('adult', 0.76582270860672), ('stretched', 0.7570884823799133), ('bottom', 0.7426778078079224), ('woman', 0.7372165322303772), ('hot', 0.7342978119850159)]",3,0.777086973
retiree:job villain:evil,evil,"[('villain', 0.8344692587852478), ('job', 0.8013656735420227), ('evil', 0.7553644776344299), ('coward', 0.7472173571586609), ('productive', 0.746109127998352), ('nod', 0.7365289330482483), ('fear', 0.7356961369514465), ('jobless', 0.735021710395813), ('attract', 0.7346072196960449), ('tired', 0.7309370040893555)]",3,0.755364478
