Query ,Actual closest word ,Predicted closest words,Actual answer index,similarity score
fragile:unbreakable::lazy:productive,productive,"[('productive', 0.8609704375267029), ('jobless', 0.850162923336029), ('life', 0.8478813767433167), ('break', 0.8469382524490356), ('dirty', 0.8448485136032104), ('tired', 0.8437857627868652), ('clean', 0.8429033160209656), ('full', 0.8419464826583862), ('good', 0.8391023874282837), ('baby', 0.8381354212760925)]",1,0.860970438
tired:exhaustion::morose:sadness,sadness,"[('sadness', 0.8572782874107361), ('depression', 0.8455778360366821), ('emotional', 0.8417593836784363), ('agony', 0.8347617387771606), ('pain', 0.8319048881530762), ('abuse', 0.8281245231628418), ('unstable', 0.8256507515907288), ('dim', 0.8244547843933105), ('starvation', 0.8205936551094055), ('empty', 0.8190410733222961)]",1,0.857278287
ocean:Pacific::planet:Earth,Earth,"[('Earth', 0.8654583096504211), ('good', 0.8327611684799194), ('pain', 0.831866443157196), ('hour', 0.8314046859741211), ('kid', 0.8280563354492188), ('animal', 0.8268904089927673), ('job', 0.8250682353973389), ('fire', 0.8249723315238953), ('alive', 0.8242859840393066), ('full', 0.823452353477478)]",1,0.86545831
script:movie::choreography:performance,performance,"[('performance', 0.820536732673645), ('life', 0.8150084018707275), ('school', 0.8126373887062073), ('break', 0.8087230920791626), ('jobless', 0.8063223361968994), ('hour', 0.8063187003135681), ('baby', 0.8034930229187012), ('freedom', 0.8032217621803284), ('job', 0.8027758598327637), ('biography', 0.8027731776237488)]",1,0.820536733
crown:royalty::smoke:fire,fire,"[('fire', 0.8573771715164185), ('clean', 0.8511031270027161), ('deceased', 0.8491005301475525), ('dirty', 0.8479322791099548), ('wealth', 0.8457618355751038), ('emotional', 0.8456234931945801), ('baby', 0.842736542224884), ('millionaire', 0.8360012173652649), ('burn', 0.8351420760154724), ('fast', 0.8347264528274536)]",1,0.857377172
harvesting:farming::stitching:sewing,sewing,"[('sewing', 0.8499166965484619), ('cloth', 0.7745682001113892), ('yarn', 0.7696697115898132), ('teach', 0.7647762894630432), ('job', 0.7635936141014099), ('skin', 0.7625054717063904), ('books', 0.7576665878295898), ('fast', 0.7566977143287659), ('speed', 0.7565509080886841), ('wealth', 0.7565303444862366)]",1,0.849916697
road:highway::pain:agony,agony,"[('agony', 0.8977225422859192), ('sadness', 0.8948080539703369), ('emotional', 0.8935578465461731), ('depression', 0.8902290463447571), ('baby', 0.8798943758010864), ('deceased', 0.8792717456817627), ('life', 0.8779761791229248), ('dirty', 0.8742875456809998), ('crying', 0.874021589756012), ('hunger', 0.8730225563049316)]",1,0.897722542
botany:plants::mathematics:numbers,numbers,"[('numbers', 0.8759539127349854), ('wealth', 0.8519720435142517), ('good', 0.8428530097007751), ('teach', 0.8398310542106628), ('pain', 0.8376365900039673), ('kid', 0.8370523452758789), ('students', 0.8368443250656128), ('water', 0.8362761735916138), ('hour', 0.8349766731262207), ('books', 0.8344833850860596)]",1,0.875953913
wash:clean::teach:educated,educated,"[('educated', 0.9004083871841431), ('good', 0.8840429186820984), ('deceased', 0.8784785270690918), ('productive', 0.8777364492416382), ('life', 0.8776620626449585), ('emotional', 0.8765080571174622), ('fire', 0.8748249411582947), ('student', 0.872826099395752), ('achievement', 0.871274471282959), ('burn', 0.8709180951118469)]",1,0.900408387
sprint:fast::crying:emotional,emotional,"[('deceased', 0.9358179569244385), ('emotional', 0.9119669795036316), ('life', 0.9070338010787964), ('good', 0.898417055606842), ('baby', 0.8971046209335327), ('sadness', 0.8893613219261169), ('unstable', 0.8877130150794983), ('wrong', 0.8852240443229675), ('fail', 0.8826953768730164), ('jobless', 0.88222736120224)]",2,0.91196698
hotel:lobby::hill:top,top,"[('fill', 0.7750341296195984), ('top', 0.7640048265457153), ('small', 0.7587777376174927), ('full', 0.7553063631057739), ('dim', 0.7542418837547302), ('kid', 0.7522642612457275), ('child', 0.7517491579055786), ('day', 0.7507462501525879), ('trophy', 0.7491216659545898), ('good', 0.7488341927528381)]",2,0.764004827
spinner:yarn::weaver:cloth,cloth,"[('sewing', 0.730954110622406), ('cloth', 0.7304551601409912), ('stitching', 0.7236998081207275), ('warm', 0.7221335768699646), ('wash', 0.7198677062988281), ('lazy', 0.7131350040435791), ('teach', 0.7118648886680603), ('cold', 0.7105598449707031), ('job', 0.7098115086555481), ('pain', 0.7087723612785339)]",2,0.73045516
hand:finger::egg:yolk,yolk,"[('eggs', 0.8491806983947754), ('yolk', 0.7727052569389343), ('big', 0.7626838088035583), ('day', 0.7610188126564026), ('eat', 0.7557795643806458), ('top', 0.7474216222763062), ('hot', 0.7467575669288635), ('wrong', 0.7403173446655273), ('omelette', 0.7364599108695984), ('fruit', 0.7356327176094055)]",2,0.772705257
hunger:starvation::sadness:depression,depression,"[('emotional', 0.8896526098251343), ('depression', 0.8863875865936279), ('crying', 0.8775606155395508), ('deceased', 0.8762442469596863), ('morose', 0.872391939163208), ('agony', 0.8696427941322327), ('pain', 0.8664869070053101), ('life', 0.8639950156211853), ('jobless', 0.8632698655128479), ('wrong', 0.8626310229301453)]",2,0.886387587
army:soldiers::library:books,books,"[('students', 0.8433181643486023), ('books', 0.8332538604736328), ('student', 0.8178268074989319), ('school', 0.8132197260856628), ('lobby', 0.8081250190734863), ('hotel', 0.7973737716674805), ('furniture', 0.7915417551994324), ('job', 0.7874535322189331), ('book', 0.7871071100234985), ('educated', 0.7861106395721436)]",2,0.83325386
snacks:chips::cutlery:forks,forks,"[('knife', 0.7956613898277283), ('forks', 0.7712792754173279), ('cloth', 0.7294924855232239), ('feathers', 0.706267774105072), ('kid', 0.7054980397224426), ('script', 0.7047306299209595), ('child', 0.7037330269813538), ('fast', 0.701904833316803), ('finger', 0.700920581817627), ('sword', 0.7006458044052124)]",2,0.771279275
heart:beat::fire:burn,burn,"[('good', 0.8805989027023315), ('burn', 0.8797422647476196), ('fast', 0.8723061680793762), ('full', 0.8695292472839355), ('hour', 0.868116021156311), ('deceased', 0.8624777793884277), ('agony', 0.8622375130653381), ('clean', 0.8616700768470764), ('productive', 0.8603876829147339), ('wrong', 0.8599124550819397)]",2,0.879742265
