Query ,Actual closest word ,Predicted closest words,Actual answer index,similarity score
consume:edible::eat:edible,edible,"[('edible', 0.9637526273727417), ('snacks', 0.9217780232429504), ('fruit', 0.92081618309021), ('eat', 0.8824020028114319), ('eggs', 0.85537189245224), ('botany', 0.8496482968330383), ('yolk', 0.8343586921691895), ('wealth', 0.8228098750114441), ('small', 0.8213443756103516), ('apple', 0.8205832839012146)]",1,0.963752627
library:book::casino:cards,cards,"[('cards', 0.8362408876419067), ('sprint', 0.834311306476593), ('joy', 0.8298757672309875), ('book', 0.8298171162605286), ('achievement', 0.8295274376869202), ('elastic', 0.8272584676742554), ('short', 0.825451135635376), ('performance', 0.8243865966796875), ('full', 0.8243795037269592), ('casino', 0.8229219317436218)]",1,0.836240888
fruit:apple::furniture:chair,chair,"[('furniture', 0.9289790391921997), ('chair', 0.8391537666320801), ('lobby', 0.8304092884063721), ('empty', 0.8143008351325989), ('lazy', 0.8105905055999756), ('hotel', 0.7905829548835754), ('small', 0.7723426222801208), ('spinner', 0.7648545503616333), ('dim', 0.7636892795562744), ('stairs', 0.757179856300354)]",2,0.839153767
weapon:spear::bird:robin,robin,"[('bird', 0.8518062233924866), ('robin', 0.7720588445663452), ('spear', 0.7620661854743958), ('botany', 0.7502597570419312), ('feathers', 0.7467551231384277), ('small', 0.7422738075256348), ('forks', 0.7132424712181091), ('spinner', 0.7092558145523071), ('stretched', 0.7077964544296265), ('freedom', 0.7042930126190186)]",2,0.772058845
heart:beat::fire:burn,burn,"[('fire', 0.8874038457870483), ('burn', 0.7960957288742065), ('agony', 0.7479166984558105), ('warm', 0.7331452369689941), ('heartbeat', 0.7278425693511963), ('light', 0.7188539505004883), ('smoke', 0.7111667394638062), ('beat', 0.7032771706581116), ('dim', 0.6974466443061829), ('rainbow', 0.6711024045944214)]",2,0.796095729
kid:child::raise:elevate,elevate,"[('raise', 0.9709180593490601), ('elevate', 0.9486778974533081), ('coward', 0.9355202317237854), ('short', 0.9309508204460144), ('teach', 0.9278810024261475), ('lazy', 0.922483503818512), ('exhaustion', 0.9220059514045715), ('backward', 0.9200459718704224), ('achievement', 0.9132490158081055), ('fail', 0.9118611812591553)]",2,0.948677897
acceleration:speed::dim:light,light,"[('dim', 0.9045389890670776), ('light', 0.899152398109436), ('speed', 0.8826848864555359), ('warm', 0.8412085771560669), ('rainbow', 0.8294487595558167), ('fast', 0.8291939496994019), ('agony', 0.8059665560722351), ('hotel', 0.8054311275482178), ('evil', 0.8009555339813232), ('casino', 0.8002523183822632)]",2,0.899152398
snacks:chips::cutlery:forks,forks,"[('cutlery', 0.9367736577987671), ('forks', 0.8619628548622131), ('knife', 0.828444242477417), ('tool', 0.8235222101211548), ('elevate', 0.8112603425979614), ('achievement', 0.810154139995575), ('sword', 0.8085651397705078), ('spear', 0.8065642714500427), ('pain', 0.8037220239639282), ('short', 0.8011623620986938)]",2,0.861962855
hotel:lobby::hill:top,top,"[('hill', 0.911523699760437), ('top', 0.8588441014289856), ('road', 0.806674063205719), ('day', 0.7985362410545349), ('highway', 0.7893355488777161), ('farming', 0.7698911428451538), ('life', 0.7684815526008606), ('evening', 0.7541244029998779), ('warm', 0.7512250542640686), ('lobby', 0.7478299140930176)]",2,0.858844101
hand:finger::egg:yolk,yolk,"[('egg', 0.9713258147239685), ('eggs', 0.9125480651855469), ('yolk', 0.8141664862632751), ('apple', 0.78783118724823), ('fruit', 0.761817455291748), ('pain', 0.7576237320899963), ('edible', 0.752058744430542), ('elastic', 0.7514938712120056), ('planet', 0.749090850353241), ('finger', 0.748400866985321)]",3,0.814166486
mask:face::makeup:blemish,blemish,"[('face', 0.85533607006073), ('makeup', 0.835908830165863), ('blemish', 0.829561173915863), ('pimple', 0.8015106320381165), ('woman', 0.7948034405708313), ('girl', 0.7681068181991577), ('crying', 0.6992754340171814), ('abuse', 0.6591302156448364), ('mother', 0.6434145569801331), ('skin', 0.6362030506134033)]",3,0.829561174
army:soldiers::library:books,books,"[('library', 0.9860089421272278), ('hotel', 0.8741968870162964), ('lobby', 0.8565148711204529), ('books', 0.8175200819969177), ('stairs', 0.8156751990318298), ('weaver', 0.8151615858078003), ('school', 0.8111668825149536), ('casino', 0.8047983646392822), ('jobless', 0.7939878702163696), ('furniture', 0.7916852235794067)]",4,0.817520082
ocean:Pacific::planet:Earth,Earth,"[('Pacific', 0.842965841293335), ('planet', 0.8404120206832886), ('mathematics', 0.8021251559257507), ('Earth', 0.7949029803276062), ('cards', 0.7934156656265259), ('seconds', 0.7900867462158203), ('arrhythmia', 0.788827657699585), ('short', 0.7830572128295898), ('full', 0.7818437218666077), ('nod', 0.7797497510910034)]",4,0.79490298
