Query ,Actual closest word ,Predicted closest words,Actual answer index,similarity score
weapon:spear raise:elevate,elevate,"[('raise', 0.8095071315765381), ('elevate', 0.8044238090515137), ('spear', 0.7664756178855896), ('backward', 0.7644983530044556), ('short', 0.7571059465408325), ('break', 0.7562512755393982), ('joy', 0.7549944519996643), ('teach', 0.7546887397766113), ('coward', 0.7535152435302734), ('bottom', 0.753075122833252)]",2,0.804423809
fail:succeed cutlery:forks,forks,"[('cutlery', 0.9565883874893188), ('forks', 0.8853336572647095), ('knife', 0.8401672840118408), ('tool', 0.8313607573509216), ('sword', 0.8141696453094482), ('achievement', 0.8114355206489563), ('spear', 0.8094404935836792), ('unstable', 0.7913883328437805), ('life', 0.7886019945144653), ('elastic', 0.7870796918869019)]",2,0.885333657
tired:exhaustion zoo:animal,animal,"[('zoo', 0.9725497364997864), ('animal', 0.9245017170906067), ('big', 0.888509213924408), ('damaged', 0.8695660829544067), ('morose', 0.8678653240203857), ('deceased', 0.8635504841804504), ('small', 0.863355278968811), ('life', 0.861635148525238), ('slavery', 0.8586528897285461), ('evil', 0.8573484420776367)]",2,0.924501717
fire:cold makeup:blemish,blemish,"[('makeup', 0.834682047367096), ('blemish', 0.8116642236709595), ('face', 0.8070322275161743), ('pimple', 0.7852933406829834), ('woman', 0.7673027515411377), ('girl', 0.764863133430481), ('crying', 0.7316610813140869), ('cold', 0.7310525178909302), ('abuse', 0.7203649878501892), ('skin', 0.7145469188690186)]",2,0.811664224
botany:plants raise:elevate,elevate,"[('raise', 0.91997891664505), ('elevate', 0.8997616767883301), ('coward', 0.8923544883728027), ('bottom', 0.8811898231506348), ('small', 0.8771992921829224), ('lazy', 0.8745875954627991), ('jobless', 0.8733904361724854), ('adult', 0.8713796734809875), ('short', 0.8685762882232666), ('stretched', 0.8668149709701538)]",2,0.899761677
consume:edible hill:top,top,"[('hill', 0.8337843418121338), ('top', 0.7841482162475586), ('road', 0.7413576245307922), ('highway', 0.7319464683532715), ('day', 0.7232040762901306), ('farming', 0.6869832873344421), ('evening', 0.6824247241020203), ('harvesting', 0.6606804132461548), ('rainbow', 0.6465103626251221), ('monochromatic', 0.634928822517395)]",2,0.784148216
wash:dirty villain:evil,evil,"[('villain', 0.9005938172340393), ('evil', 0.8726668357849121), ('movie', 0.8619534969329834), ('morose', 0.8583076000213623), ('big', 0.84931480884552), ('nod', 0.8370547294616699), ('dirty', 0.8237251043319702), ('mask', 0.8237048387527466), ('sadness', 0.823566734790802), ('deceased', 0.8214470148086548)]",2,0.872666836
library:books makeup:blemish,blemish,"[('makeup', 0.8650050163269043), ('face', 0.8008449077606201), ('blemish', 0.7985551357269287), ('pimple', 0.7726190686225891), ('skin', 0.7501882910728455), ('laugh', 0.7394258379936218), ('woman', 0.7391647100448608), ('girl', 0.7383424043655396), ('abuse', 0.7156957983970642), ('crying', 0.7105815410614014)]",3,0.798555136
sword:knife cutlery:forks,forks,"[('cutlery', 0.9526411294937134), ('knife', 0.8984623551368713), ('forks', 0.8527969121932983), ('tool', 0.8469370603561401), ('eat', 0.8000699877738953), ('pain', 0.7872958779335022), ('dirty', 0.7788359522819519), ('wash', 0.777472972869873), ('omelette', 0.7767226696014404), ('discard', 0.7760373950004578)]",3,0.852796912
fruit:apple good:wrong,wrong,"[('good', 0.8805496096611023), ('employed', 0.8363757133483887), ('wrong', 0.8351960778236389), ('forward', 0.8344080448150635), ('backward', 0.8274837136268616), ('discipline', 0.8270679712295532), ('attract', 0.8073419332504272), ('productive', 0.8054815530776978), ('alive', 0.8053783774375916), ('break', 0.8022584915161133)]",3,0.835196078
script:movie employed:jobless,jobless,"[('movie', 0.9431754946708679), ('big', 0.9241581559181213), ('deceased', 0.9162603616714478), ('jobless', 0.916017472743988), ('performance', 0.9133878350257874), ('fail', 0.913353681564331), ('discipline', 0.9087329506874084), ('succeed', 0.9063382744789124), ('alive', 0.9036689400672913), ('villain', 0.9032756686210632)]",4,0.916017473
road:highway smoke:fire,fire,"[('smoke', 0.9709985852241516), ('evil', 0.8402426242828369), ('burn', 0.8385953307151794), ('fire', 0.8237993121147156), ('monochromatic', 0.8185499310493469), ('morose', 0.8182697892189026), ('sadness', 0.8153572082519531), ('pain', 0.8124786615371704), ('freezing', 0.8114811182022095), ('deceased', 0.810719907283783)]",4,0.823799312
library:book bird:robin,robin,"[('bird', 0.8072428703308105), ('elastic', 0.7471864223480225), ('botany', 0.7386060953140259), ('robin', 0.7375695705413818), ('book', 0.735419750213623), ('small', 0.726973831653595), ('pain', 0.7251226902008057), ('stitching', 0.7221708297729492), ('feathers', 0.7197516560554504), ('cards', 0.7132865190505981)]",4,0.737569571
wash:clean eat:edible,edible,"[('eat', 0.9304280877113342), ('snacks', 0.901177704334259), ('clean', 0.8994989991188049), ('edible', 0.8890488743782043), ('consume', 0.8802923560142517), ('small', 0.8702860474586487), ('fruit', 0.8608812093734741), ('litter', 0.8606595993041992), ('pain', 0.8600714206695557), ('hot', 0.8568142056465149)]",4,0.889048874
hunger:starvation smoke:fire,fire,"[('smoke', 0.9728562235832214), ('evil', 0.8476876616477966), ('sadness', 0.8323156833648682), ('morose', 0.8209320306777954), ('fire', 0.8204006552696228), ('burn', 0.8165495991706848), ('deceased', 0.8138086795806885), ('monochromatic', 0.8092449903488159), ('joy', 0.8057339787483215), ('fear', 0.8048507571220398)]",5,0.820400655
forward:backward villain:evil,evil,"[('villain', 0.9812307953834534), ('morose', 0.9332153797149658), ('movie', 0.9250005483627319), ('big', 0.9249715805053711), ('evil', 0.9164125323295593), ('coward', 0.9149680137634277), ('deceased', 0.9134687781333923), ('sadness', 0.9113893508911133), ('emotional', 0.9112604260444641), ('laugh', 0.909774899482727)]",5,0.916412532
life:biography sadness:depression,depression,"[('biography', 0.8978278040885925), ('agreement', 0.8734265565872192), ('script', 0.8353855013847351), ('feet', 0.7800052762031555), ('depression', 0.7764089703559875), ('acceleration', 0.7627393007278442), ('sadness', 0.7608952522277832), ('arrhythmia', 0.753362238407135), ('exhaustion', 0.7465866208076477), ('emotional', 0.7454813718795776)]",5,0.77640897
fragile:damaged smoke:fire,fire,"[('smoke', 0.8782633543014526), ('evil', 0.8087482452392578), ('damaged', 0.7986270785331726), ('freezing', 0.7837666869163513), ('agony', 0.7834227681159973), ('fire', 0.7731544971466064), ('warm', 0.7727792263031006), ('burn', 0.7688717842102051), ('sadness', 0.7649660706520081), ('dim', 0.7558380961418152)]",6,0.773154497
omelette:eggs choreography:performance,performance,"[('choreography', 0.8443535566329956), ('stretched', 0.7709940671920776), ('bottom', 0.7629965543746948), ('father', 0.7501078844070435), ('happiness', 0.7492978572845459), ('performance', 0.7468644380569458), ('life', 0.745944619178772), ('freedom', 0.7417699098587036), ('dim', 0.7366083264350891), ('starvation', 0.7347604036331177)]",6,0.746864438
father:mother villain:evil,evil,"[('villain', 0.9456676244735718), ('laugh', 0.8938655853271484), ('sadness', 0.8924490809440613), ('mother', 0.8898261785507202), ('morose', 0.8896887302398682), ('skin', 0.8856050968170166), ('fear', 0.8838130235671997), ('evil', 0.8824651837348938), ('exhaustion', 0.8785661458969116), ('abuse', 0.8780504465103149)]",8,0.882465184
heart:beat villain:evil,evil,"[('villain', 0.8611370921134949), ('movie', 0.854699432849884), ('morose', 0.8399716019630432), ('big', 0.8389626741409302), ('heartbeat', 0.8389511704444885), ('jobless', 0.8332514762878418), ('beat', 0.8302181363105774), ('fail', 0.8293331265449524), ('alive', 0.8290277123451233), ('deceased', 0.8255029916763306)]",12,0.823316097
retiree:job villain:evil,evil,"[('job', 0.9295498728752136), ('villain', 0.9135335087776184), ('student', 0.8977155089378357), ('tired', 0.8821685314178467), ('students', 0.8817462921142578), ('exhaustion', 0.8748707175254822), ('lazy', 0.8705675601959229), ('millionaire', 0.8682029843330383), ('morose', 0.8648261427879333), ('jobless', 0.8646197319030762)]",16,0.854935348
hand:finger coward:fear,fear,"[('coward', 0.9695451855659485), ('raise', 0.9200146198272705), ('exhaustion', 0.9191561341285706), ('elevate', 0.9170458316802979), ('skin', 0.9155699014663696), ('teach', 0.9142444133758545), ('lazy', 0.9135725498199463), ('laugh', 0.9116589426994324), ('short', 0.9103928804397583), ('morose', 0.909015953540802)]",17,0.899118543
spinner:yarn depression:joy,joy,"[('yarn', 0.8516892194747925), ('depression', 0.7908545732498169), ('sadness', 0.7604010701179504), ('emotional', 0.7584590911865234), ('arrhythmia', 0.7495530843734741), ('exhaustion', 0.7428897619247437), ('productive', 0.7426002025604248), ('teach', 0.7417490482330322), ('discipline', 0.7417291402816772), ('skin', 0.7361129522323608)]",21,0.72269088
school:students mother:father,father,"[('mother', 0.892819344997406), ('students', 0.8664054870605469), ('child', 0.861327588558197), ('student', 0.8603670001029968), ('tired', 0.8582193851470947), ('exhaustion', 0.8568243384361267), ('adult', 0.8370949625968933), ('abuse', 0.8341830968856812), ('kid', 0.8283783793449402), ('hunger', 0.8211216926574707)]",24,0.801786661
unstable:fall choreography:performance,performance,"[('choreography', 0.9283102750778198), ('fall', 0.8844845294952393), ('freedom', 0.8385422825813293), ('stretched', 0.8340440988540649), ('father', 0.8244279026985168), ('life', 0.8169670104980469), ('adult', 0.8122986555099487), ('starvation', 0.8105531334877014), ('bottom', 0.8052063584327698), ('hot', 0.8035635948181152)]",24,0.764916122
snacks:chips widow:husband,husband,"[('widow', 0.9239442944526672), ('adult', 0.8642234206199646), ('emotional', 0.8613318204879761), ('exhaustion', 0.8602460622787476), ('cold', 0.8545631170272827), ('fear', 0.8529359102249146), ('retiree', 0.8524283170700073), ('starvation', 0.8519669771194458), ('stretched', 0.8508241176605225), ('abuse', 0.8461645841598511)]",26,0.830921531
fragile:unbreakable crying:emotional,emotional,"[('crying', 0.849948525428772), ('mother', 0.8441740274429321), ('abuse', 0.8402435779571533), ('fear', 0.8364084362983704), ('unbreakable', 0.829248309135437), ('kid', 0.8290485739707947), ('sadness', 0.8288630247116089), ('child', 0.8232330679893494), ('face', 0.8198758959770203), ('laugh', 0.8116775751113892)]",29,0.777112424
slavery:freedom widow:husband,husband,"[('widow', 0.8581233024597168), ('freedom', 0.8406851291656494), ('emotional', 0.8342638611793518), ('stretched', 0.8314343094825745), ('adult', 0.8247883319854736), ('father', 0.8240438103675842), ('sadness', 0.8230109810829163), ('skin', 0.8217962384223938), ('happiness', 0.8187862634658813), ('pain', 0.818261981010437)]",29,0.791829884
ocean:Pacific rainbow:monochromatic,monochromatic,"[('Pacific', 0.8766153454780579), ('arrhythmia', 0.8205485343933105), ('mathematics', 0.8115261793136597), ('cards', 0.8096641302108765), ('acceleration', 0.7981983423233032), ('joy', 0.7889211177825928), ('productive', 0.7869040966033936), ('short', 0.7861928343772888), ('rainbow', 0.7845996022224426), ('teach', 0.782842218875885)]",30,0.75542146
acceleration:speed pain:agony,agony,"[('speed', 0.9101659655570984), ('pain', 0.8911291360855103), ('fast', 0.8609586954116821), ('light', 0.8583161234855652), ('dim', 0.8489146828651428), ('hot', 0.8475888967514038), ('dirty', 0.8468945026397705), ('burn', 0.846514880657196), ('monochromatic', 0.8464453220367432), ('evil', 0.8461784720420837)]",34,0.818255067
